  ;nombre_perfume;Tipo;estado;familia_olfativa;ocasion;intensidad;genero;;;;
9pm-rebel---afnan;9pm-rebel---afnan;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;HOMBRE;;;;
9pm-night-out-armaf;9pm-night-out---armaf;;;;;;;;;;
212-heroes---carolina-herrera;212-heroes---carolina-herrerahombre;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
212-men-nyc---carolina-herrera;212-men-nyc---carolina-herrera;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;MEDIA;HOMBRE;;;;
212-vip---carolina-herrera;212-vip---carolina-herrera;1,1;INACTIVO;DULCE;USO DIARIO;ALTA;HOMBRE;;;;
360-for-men---perry-ellis;360-for-men---perry-ellis;1,1;ACTIVO;CITRICAS;USO DIARIO;ALTA;HOMBRE;;;;
adrenalina---yanbal;adrenalina---yanbal;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;MEDIA;HOMBRE;;;;
al-contrario---tiziana-terenzi;al-contrario---tiziana-terenzi;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
alexandria-ii---xerjoff;alexandria-ii---xerjoff;ESTANDAR;ACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
allure-home-sport---chanel;allure-home-sport---chanel;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
althair---marly;althair---marly;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;HOMBRE;-..;;;
amber-dubai-night---al-hamarain;amber-dubai-night---al-hamarain;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
9pm-night-out---armaf;9pm-night-out---armaf;ESTANDAR;ACTIVO;ACUATICAS;CITA ROMATICA;ALTA;HOMBRE;;;;
angels-share---kilian;angels-share---kilian;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;ALTA;HOMBRE;;;;
aqva---bvlgari;aqva---bvlgari;ESTANDAR;ACTIVO;ACUATICAS;USO DIARIO;MEDIA;HOMBRE;;;;
asad-bourbon---lattafa;asad-bourbon---lattafa;1,1;ACTIVO;ORIENTALES/ESPECIADAS;CITA ROMATICA;ALTA;HOMBRE;;;;
ahli-vega---lataffa;ahli-vega---lataffa;ESTANDAR;INACTIVO;DULCES;EVENTO FORMAL;MEDIA;UNISEX;;;;
asad---lattafa;asad---lattafa;1,1;ACTIVO;ORIENTALES/ESPECIADAS;OFICINA;ALTA;HOMBRE;;;;
aventus---creed;aventus---creed;ESTANDAR;ACTIVO;AMADERADAS;EVENTO FORMAL;MEDIA;HOMBRE;;;;
azul-la-coste;azul---la-coste;ESTANDAR;ACTIVO;FRESCO;DEPORTE;BAJA;HOMBRE;;;;
azure-fantasy---orientica;azure-fantasy---orientica;ESTANDAR;ACTIVO;CITRICAS;DEPORTE;ALTA;HOMBRE;;;;
bad-boy---carolina-herrera;bad-boy---carolina-herrera;ESTANDAR;ACTIVO;DULCES;CITA ROMATICA;MEDIA;HOMBRE;..,,.;;;
bharara-onyx---bharara;bharara-onyx---bharara;ESTANDAR;INACTIVO;ACTIVO;ACTIVO;ACTIVO;HOMBRE;;;;
black-xs---paco-rabanne;black-xs---paco-rabanne;ESTANDAR;ACTIVO;ORIENTALES/ESPECIADAS;OFICINA;MEDIA;HOMBRE;;;;
